vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,cors,2.8.6,NotFound,CVE-2023-49803,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,cookie,0.7.2,NotFound,CVE-2017-18589,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
cookie_project,cookie,0.7.2,NotFound,CVE-2017-18589,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
sirv,sirv,3.0.2,NotFound,CVE-2023-50898,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
sirv,sirv,3.0.2,NotFound,CVE-2024-10855,HIGH,8.1,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,,NewFound,
sirv,sirv,3.0.2,NotFound,CVE-2024-6392,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
sirv,sirv,3.0.2,NotFound,CVE-2024-8480,HIGH,8.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,NewFound,
sirv,sirv,3.0.2,NotFound,CVE-2025-46233,MEDIUM,5.4,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,protobufjs,6.8.8,NotFound,CVE-2022-25878,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,protobufjs,6.8.8,NotFound,CVE-2026-41242,CRITICAL,9.9,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,,NewFound,
protobufjs_project,protobufjs,6.8.8,NotFound,CVE-2022-25878,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
latchset,jose,4.15.9,NotFound,CVE-2023-50967,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,jsonwebtoken,9.0.3,NotFound,CVE-2026-25537,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,,NewFound,
unknown,jsonwebtoken,9.0.3,NotFound,GHSA-h395-gr6q-cpjc,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,,NewFound,
events_project,events,3.3.0,NotFound,CVE-2018-25076,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
latchset,jose,6.2.2,NotFound,CVE-2023-50967,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
rc_project,rc,1.2.8,NotFound,CVE-2014-1936,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,protobufjs,7.5.4,NotFound,CVE-2026-41242,CRITICAL,9.9,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,,NewFound,
unknown,hono,4.12.10,NotFound,CVE-2020-27217,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,sharp,0.34.5,NotFound,CVE-2025-61457,MEDIUM,6.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,NewFound,
unknown,sharp,0.34.5,NotFound,CVE-2025-62798,MEDIUM,5.4,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,,NewFound,
