vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
unknown,ajv,8.17.1,NotFound,CVE-2025-69873,LOW,2.9,GAD,3,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,brace-expansion,1.1.14,NotFound,CVE-2026-25547,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,brace-expansion,1.1.14,NotFound,GHSA-7h2j-956f-4vf2,HIGH,8.6,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H,,NewFound,
unknown,cookie,0.7.1,NotFound,CVE-2017-18589,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
cookie_project,cookie,0.7.1,NotFound,CVE-2017-18589,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,cookie,0.7.2,NotFound,CVE-2017-18589,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
cookie_project,cookie,0.7.2,NotFound,CVE-2017-18589,HIGH,7.5,NVD,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,cors,2.8.5,NotFound,CVE-2023-49803,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
unknown,cors,2.8.6,NotFound,CVE-2023-49803,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,NewFound,
events_project,events,3.3.0,NotFound,CVE-2018-25076,CRITICAL,9.8,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,fast-xml-parser,4.5.3,/usr/lib/python3.12/xml,CVE-2026-25896,CRITICAL,9.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:H/A:N,,NewFound,
unknown,fast-xml-parser,4.5.3,/usr/lib/python3.12/xml,CVE-2026-26278,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,fast-xml-parser,4.5.3,/usr/lib/python3.12/xml,CVE-2026-27942,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,NewFound,
unknown,fresh,0.5.2,NotFound,GMS-2017-232,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,hono,4.12.10,NotFound,CVE-2020-27217,HIGH,7.5,NVD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
latchset,jose,4.15.9,NotFound,CVE-2023-50967,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
latchset,jose,6.2.2,NotFound,CVE-2023-50967,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
