vendor,product,version,location,cve_number,severity,score,source,cvss_version,cvss_vector,paths,remarks,comments
babeljs,babel,2.17.0,NotFound,CVE-2023-45133,HIGH,8.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,,NewFound,
nim-lang,docutils,0.21.2,NotFound,CVE-2022-23602,HIGH,8.1,NVD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,,NewFound,
unknown,fonttools,4.58.0,NotFound,CVE-2025-66034,MEDIUM,6.3,GAD,3,CVSS:3.1/AV:L/AC:H/PR:N/UI:R/S:C/C:N/I:H/A:L,,NewFound,
unknown,keras,3.9.2,NotFound,CVE-2025-12058,UNKNOWN,unknown,GAD,unknown,unknown,,NewFound,
unknown,keras,3.9.2,NotFound,CVE-2025-12060,CRITICAL,9.8,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,3.9.2,NotFound,CVE-2025-12638,HIGH,8,GAD,3,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,3.9.2,NotFound,CVE-2025-8747,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,3.9.2,NotFound,CVE-2025-9905,HIGH,7.3,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,3.9.2,NotFound,CVE-2025-9906,HIGH,7.3,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,keras,3.9.2,NotFound,CVE-2026-0897,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,keras,3.9.2,NotFound,CVE-2026-1669,HIGH,7.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N,,NewFound,
unknown,keras,3.9.2,NotFound,GHSA-28jp-44vh-q42h,CRITICAL,9,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,,NewFound,
unknown,keras,3.9.2,NotFound,GHSA-77wq-646f-jrm2,HIGH,7.5,GAD,3,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:C/C:H/I:H/A:H,,NewFound,
unknown,keras,3.9.2,NotFound,GHSA-gfmx-qqqh-f38q,HIGH,7.1,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N,,NewFound,
unknown,keras,3.9.2,NotFound,GHSA-pwq7-2gvj-vg9v,HIGH,8.2,GAD,3,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,,NewFound,
keras,keras,3.9.2,NotFound,CVE-2025-8747,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,pip,24.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/pip,CVE-2025-8869,MEDIUM,6.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,,NewFound,
unknown,pip,24.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/pip,CVE-2026-1703,LOW,3.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,,NewFound,
pypa,pip,24.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/bin/pip,CVE-2018-20225,HIGH,7.8,NVD,3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,NewFound,
unknown,requests,2.32.3,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/requests,CVE-2024-47081,UNKNOWN,unknown,NVD,unknown,unknown,,NewFound,
unknown,urllib3,2.4.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/urllib3,CVE-2025-50181,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,,NewFound,
unknown,urllib3,2.4.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/urllib3,CVE-2025-50182,MEDIUM,5.3,GAD,3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,,NewFound,
unknown,urllib3,2.4.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/urllib3,CVE-2025-66418,HIGH,7.5,REDHAT,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,urllib3,2.4.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/urllib3,CVE-2025-66471,HIGH,7.5,REDHAT,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
unknown,urllib3,2.4.0,/home/jason/SBOM EVal and Validation/sbomCVE/sbom_env/lib/python3.12/site-packages/urllib3,CVE-2026-21441,HIGH,7.5,GAD,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,,NewFound,
