cve,package,version,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2025-8869,pip,24.0,Medium,False,,0.00022,0.05945,no,,https://github.com/pypa/pip/pull/13550,,https://github.com/pypa/pip/pull/13550,,,,,,,
CVE-2026-1703,pip,24.0,Low,False,,0.00026,0.07184,no,,https://github.com/pypa/pip/pull/13777 | https://github.com/pypa/pip/commit/8e227a9be4faa9594e05d02ca05a413a2a4e7735,,https://github.com/pypa/pip/pull/13777 | https://github.com/pypa/pip/commit/8e227a9be4faa9594e05d02ca05a413a2a4e7735,,,,8e227a9be4faa9594e05d02ca05a413a2a4e7735,,,
CVE-2026-22815,aiohttp,3.13.3,Medium,False,,0.00052,0.16369,no,,,,,,,,,,,
CVE-2026-26007,cryptography,45.0.7,High,False,,9e-05,0.00918,no,,https://github.com/pyca/cryptography/commit/0eebb9dbb6343d9bc1d91e5a2482ed4e054a6d8c,,https://github.com/pyca/cryptography/commit/0eebb9dbb6343d9bc1d91e5a2482ed4e054a6d8c,,,,06e120e682cb200e3f7050c02f0bcdac90c4c6ad,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.1
CVE-2026-27448,pyopenssl,25.1.0,Low,False,,0.00041,0.12502,no,,https://github.com/pyca/pyopenssl/commit/d41a814759a9fb49584ca8ab3f7295de49a85aa0,,https://github.com/pyca/pyopenssl/commit/d41a814759a9fb49584ca8ab3f7295de49a85aa0,,,,358cbf29c4e364c59930e53a270116249581eaa3,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-27459,pyopenssl,25.1.0,High,False,,0.00026,0.07254,no,,https://github.com/pyca/pyopenssl/commit/57f09bb4bb051d3bc2a1abd36e9525313d5cd408,,https://github.com/pyca/pyopenssl/commit/57f09bb4bb051d3bc2a1abd36e9525313d5cd408,,,819095fa886db98cf43b6f0e66ba19c83d64d3c0,358cbf29c4e364c59930e53a270116249581eaa3,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2026-33699,pypdf,6.9.1,Medium,False,,0.00016,0.03513,no,,https://github.com/py-pdf/pypdf/pull/3693,,https://github.com/py-pdf/pypdf/pull/3693,,,,da867f4961e4ac5ac9d751cba3131c5a1a8777f3,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-34073,cryptography,45.0.7,Low,False,,9e-05,0.0084,no,,,,,,,,91d728897bdad30cd5c79a2b23e207f1f050d587,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-34513,aiohttp,3.13.3,Low,False,,0.00052,0.16369,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-34514,aiohttp,3.13.3,Low,False,,0.00039,0.1181,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-34515,aiohttp,3.13.3,Medium,False,,0.00061,0.18942,no,,,,,,,,,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2026-34516,aiohttp,3.13.3,Medium,False,,0.00052,0.16369,no,,,,,,,,,,,
CVE-2026-34517,aiohttp,3.13.3,Low,False,,0.00051,0.15796,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,3.1
CVE-2026-34518,aiohttp,3.13.3,Low,False,,0.00038,0.11337,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2026-34519,aiohttp,3.13.3,Low,False,,0.00039,0.1181,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-34520,aiohttp,3.13.3,Low,False,,0.00057,0.17948,no,,,,,,,,,,,
CVE-2026-34525,aiohttp,3.13.3,Medium,False,,0.00119,0.3086,no,,,,,,,,,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2026-39892,cryptography,45.0.7,Medium,False,,0.00021,0.05897,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2026-40192,pillow,12.1.1,High,False,,0.00018,0.04594,no,,,,,,,,,,,
CVE-2026-40260,pypdf,6.9.1,Medium,False,,0.00016,0.03496,no,,,,,,,,,,,
